country;population;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol7;newCol8;newCol9;newCol10;newCol11;newCol12;newCol13;newCol14;newCol15;newCol16;newCol17;newCol18;newCol
marshall islands;560860;;;;;;63174,0;62000,0;;;;59071,0;;62360,0;;;62000,0;;;;63174,0
mauritania;3461041;3366000,0;;;;;3364940,0;3069000,0;;;;3086859,0;;3365675,0;;2828858,0;3069000,0;;;3129486,0;3366000,0
mauritius;1261208;;1168256,0;;;;1274189,0;1,2450005E7;;;;1230602,0;;1282000,0;;1200206,0;1,2450005E7;;;1284264,0;1168256,0
mexico;119713203;1,08396211E8;9,8552776E7;1,07449525E8;;;1,099554E8;1,07029E8;;1,13724226E8;;1,06202903E8;;1,08523E8;;;1,07029E8;;;1,11211789E8;1,08396211E8
moldova;3557600;3563800,0;4457729,0;4466706,0;;;4324450,0;4206000,0;;4314377,0;;4455421,0;;3561105,0;4320490,0;;4206000,0;;;4320748,0;3563800,0
monaco;36950;;;32543,0;;;32796,0;35000,0;;;;32409,0;;;;;35000,0;;;;32543,0
mongolia;2931300;2768800,0;;2832224,0;;;2996081,0;2646000,0;;;;2791272,0;;2701117,0;;;2646000,0;;;3041142,0;2768800,0
montenegro;620029;;;630548,0;;;678177,0;;;;;;;625516,0;;;;;;;630548,0
morocco;33373700;3,1892E7;2,9114497E7;3,3241259E7;;;3,434322E7;3,1478E7;;;;3,2725847E7;;3,2381283E7;;3,1167783E7;3,1478E7;;;3,1285174E7;3,1892E7
mozambique;25041922;2,3406E7;;;;;2,12847E7;1,9792E7;;;;1,9406703E7;;2,340567E7;;1,9607519E7;1,9792E7;;1,9318E7;2,1669278E7;2,3406E7
namibia;2113077;2212000,0;1622328,0;;;;2088669,0;2031000,0;;;;2030692,0;;2212037,0;;1820916,0;2031000,0;;;2108665,0;2212000,0
nauru;9945;;;;;;13770,0;14000,0;;;;13048,0;;;;;14000,0;;;;13770,0
nepal;26494504;2,9853E7;;2,8287147E7;;;2,9519114E7;2,7133E7;;2,9391883E7;;2,7676547E7;;2,9852682E7;;;2,7133E7;;;2,8563377E7;2,9853E7
netherlands;16867200;1,6609518E7;1,5731112E7;1,6491461E7;;;1,6645313E7;1,6299E7;;1,6847007E7;;1,6407491E7;;1,662256E7;1,6570613E7;;1,6299E7;;1,6117E7;1,6715999E7;1,6609518E7
new zealand;4551240;4383600,0;3625388,0;;;;4173460,0;4028000,0;;4290347,0;;4035461,0;;4370700,0;4098900,0;;4028000,0;;;4213418,0;4383600,0
nicaragua;6071045;5822000,0;;5570129,0;;;5785846,0;5487000,0;;;;5465100,0;;5822265,0;;;5487000,0;;6385000,0;5891199,0;5822000,0
niger;17138707;1,5891E7;;;;;1,3272679E7;1,3957E7;;;;1,2162856E7;;1,5891482E7;;1,0639744E7;1,3957E7;;;1,5306252E7;1,5891E7
nigeria;178517000;1,58259E8;;;;;1,46255312E8;1,3153E8;;;;1,28765768E8;;1,58258917E8;;1,29934911E8;1,3153E8;;1,24517E8;1,4922909E8;1,58259E8
niue;1613;;;;;;1444,0;1000,0;;;;2166,0;;;;;1000,0;;;;1444,0
north korea;25027000;;;2,3113019E7;;;2,3479088E7;2,2488E7;;2,445749285E9;;2,2912177E7;;;2,3301725E7;;2,2488E7;;;;2,3113019E7
northern cyprus;294906;;;;;;;;;;;;;;;;;;;;
norway;5137679;4896700,0;4419955,0;4610820,0;;;4644457,0;4,6200004E7;;4691849,0;;4593041,0;;4882930,0;;;4,6200004E7;;;4660539,0;4896700,0
pakistan;188020000;1,7026E8;;1,6580356E8;;;1,72800048E8;1,57935E8;;1,87342721E8;;1,62419946E8;;1,73383E8;;;1,57935E8;;;1,74578558E8;1,7026E8
palau;20901;;;;;;21093,0;20000,0;;;;20303,0;;20519,0;;;20000,0;;;;21093,0
