country;currency;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol7;newCol8;newCol9;newCol10;newCol
thailand;baht;;baht;thailand;;;;thai baht;baht;;;;baht
togo;cfa franc bceao;;franc;;;;;;cfa franc bceao;;;;franc
tonga;pa anga;;;;;;;tongan pa'anga;pa'anga;;;;tongan pa'anga
trinidad tobago;ttd;;dollar;trinidad & tobago;;;;;;;;;dollar
tunisia;dinar;;dinar;tunisia;;;;tunisian dinar;tunisian dinar;;;;dinar
turkey;turkish lira;;lira;turkey;;;;turkish lira;turkish lira;;turkish lira (try);;lira
turkmenistan;manat;;;;;;;;manat;;;;manat
tuvalu;australian dollar;;;;;;;;australian dollar;;;;australian dollar
uganda;uganda shilling;;shilling;;;;;ugandan shilling;uganda shilling;;;;shilling
ukraine;hryvnia;;;;;;;ukrainian hryvnia;hryvnia;;;;ukrainian hryvnia
united arab emirates;dirham;;;united arab emirates;;;;united arab emirates dirham;uae dirham;;;;united arab emirates
united kingdom;gbp;;pound;;;;;british pound sterling;pound sterling;;british pound (gbp);;pound
united states;dollar;;dollar;united states;;;;us dollar;us dollar;;;;dollar
uruguay;peso;;peso;uruguay;;;;uruguayan new peso;peso uruguayo;;;;peso
uzbekistan;uzbekistan sum;;;;;;;uzbekistan som;uzbekistan sum;;;;uzbekistan som
vanuatu;vatu;;;;;;;vanuatu vatu;vatu;;;;vanuatu vatu
vatican city;euro;;;;;;;;;;euro (eur);;euro (eur)
venezuela;bolivar;;bolivar;venezuela;;;;venezuelan bolivar fuerte;bolivar;;;;bolivar
vietnam;dong;;dong;;;;;;dong;;;;dong
yemen;yemeni rial;;;;;;;yemeni rial;;;;;yemeni rial
zambia;kwacha;;dalasi;;;;dalasi;zambian kwacha;dalasi;;;;dalasi
zimbabwe;zimbabwe dollar;;dollar;;;;;zimbabwe dollar;;;;;dollar
;;;currency;;;;;;;;;;currency
